"entidad","periodo","C110_Disponibilidades","C120_Inversiones","C130_Creditos","C139_Estimaciones","C140_CuentasxCobrar","C150_BienesVenta","C160_PartEmpresas","C170_PropiedadesEquipo","C180_OtrosActivos","C210_OblPublico","C220_OblBCCR","C230_OblEntidades","C240_CuentasxPagar","C250_OtrosPasivos","C260_ObligSubord","C310_CapitalSocial","C330_AjusOtrosResultados","C320_AportNoCap","C340_Reservas","C350_ResultadosAcum"
"CMB",2016-07-01,45958077440.16,136417108431.66,49445913254.59,-503532662.55,140238409.39,0,0,1042768009.1,1432245459.85,204356090359.9,432276560.72,3095361160.15,2881959703.34,220026149.78,0,19843600000,259185200.23,0,269834890.75,662133602.16
"CMB",2016-08-01,49008507835.57,139535157723.13,49165100509.57,-546679028.33,263313596.28,0,0,1029145418.8,1337151563.35,206197816951.08,550615194.37,1161721646.26,8008774878.36,224125922,0,19843600000,270003018.43,0,269834890.75,662133602.16
"CMB",2016-09-01,57128448911.46,144730398432.82,47777795853.94,-601627413.41,227447339.83,0,0,1014141749.69,1238755488.56,219144848618.36,3559770130.24,1092305576.33,3461140187.98,212957607.97,0,19843600000,150215506.94,0,269834890.75,662133602.16
"CMB",2016-10-01,39655388168.68,152322268673.78,47604602645.07,-638391790.22,266437937.1,0,0,997514775.67,1198394916.63,210741312000.98,0,1908201567.51,3826484381.15,396748878.2,0,19843600000,215249589.74,0,269834890.75,662133602.16
"CMB",2016-11-01,82526606801.34,157606852972.72,52679884384.24,-880997095.64,271623188.09,0,0,984112415.81,1190558037.17,252814269682.9,10938033365.8,1430971402.04,4462407136.16,208277471.98,0,19843600000,130758534.51,0,269834890.75,662133602.16
"CMB",2016-12-01,98354796611.33,139778342423.9,49034743912.23,-923558782.84,210724857.85,0,0,967799687.19,1190727680.32,256293759124.33,922285656.77,1406993745.06,4534099536.67,251847547.38,0,19843600000,121247029.85,0,269834890.75,662133602.16
"CMB",2017-01-01,76221244147.34,168322420523.24,50834593986.73,-1002770527.77,152029399.02,0,0,951141815.36,1378601968.49,261175161717.83,3473927103.24,1533801443.71,4598406332.15,261378553.93,0,19843600000,41689311.92,0,616330253.27,5546972279.49
"CMB",2017-02-01,82870499165.63,167018696525.68,48366371209.4,-1316206651.84,159934968.07,0,0,935454128.68,1214705689.7,263400624327.33,3610531407.43,2043743966.47,4202818546.09,277288014.19,0,19843600000,53887132.04,0,616330253.27,5546972279.49
"CMB",2017-03-01,57626088081.53,158486889031.17,50829263423.55,-1124568577.38,560243950.43,0,0,919345063.04,1359462408.35,229532323419.53,900068750,8327294353.89,3000409352.96,249300672.31,0,19843600000,-17238626.69,0,616330253.27,5546972279.49
"CMB",2017-04-01,53975193855.25,165305430986.51,57026983273.49,-1286657959.85,528646124.26,0,0,902665997.4,1413927065.79,235064635458.97,3501020833.33,9600175332.39,2678480965.5,260593737.87,0,19843600000,49242670.01,0,616330253.27,5546972279.49
"CMB",2017-05-01,45051276600.53,168510072521.23,61265195042.09,-1260876071.39,408737838.11,0,0,885986931.76,926527984.73,231340794274.25,1153751973.63,12534479271.59,3029966914.5,241213814.16,0,19843600000,99033522.49,0,616330253.27,5546972279.49
"CMB",2017-06-01,63997121589.42,165538790677.22,57547477470.27,-1477820841.16,490241914.38,0,0,872130976.73,1638851378.72,249541835554.43,0,6337345560.22,4107010648.43,290980101.04,0,19843600000,-162922544.67,0,616330253.27,5546972279.49
"CMB",2017-07-01,61802822928.16,164622242563.21,60430757775.38,-1572006869.06,568357330.92,0,0,855428187.31,1586723112.88,249943160415.49,4149061652.4,6118586794.78,4194707061.2,408694547.83,0,19843600000,-581311201.53,0,1012676468.72,666972279.49
"CMB",2017-08-01,49638484313.28,168260296131.49,62077348823.24,-1983448025.48,530145374.48,0,0,840148359.67,1395318855.67,236917963150.07,2968466412.94,13055682825.41,4252702966.33,327250949.04,0,19843600000,-737538334.31,0,1012676468.72,666972279.49
"CMB",2017-09-01,53369983911,171515970301.67,56215489463.73,-2028899335.36,658796856.47,0,0,825712670.32,2267853958.27,238187443923.36,5016591590.76,10619076855.35,4800742058.95,404050749.32,0,19843600000,-1010683126.29,0,1012676468.72,666972279.49
